"Time Created","Screen Name","Follower Count","Full Text","Location","Hashtags","Mentions","Platform"
"Mon Apr 03 05:21:37 +0000 2017","Bagatino","4663","RT @pcr241: no surprise at all,DEMOCRAT socialists are SHAMELESS https://t.co/ab1Vt7ku4i","New Jersey","[]","[u'Pat Roc']","iPhone"
"Mon Apr 03 05:22:16 +0000 2017","avanconia","15736","@worst_potus_evr @ncwolf1313 https://t.co/nja2SKCop2","behind liberal enemy lines","[]","[u'dont screw with me', u'Trump is deranged']","Twitter Web Client"
"Mon Apr 03 05:22:24 +0000 2017","WinyanStaz","7575","RT @avanconia: ⚡️ #RussianHacking my butt!⚡️
Check out the ACTUAL facts.
If this doesn't convince you.. you might be a liberal.
👉🔗…","Planet Earth","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]","Twitter Web Client"
"Mon Apr 03 05:22:31 +0000 2017","avanconia","15736","@4TruthAndReason @twitmeagainnow @CohenTisha @RepAdamSchiff @realDonaldTrump @docdhj @zerohedge @Breitbart https://t.co/nja2SKCop2","behind liberal enemy lines","[]","[u'4\u0393ruth.\u039bnd.\u042feaso\u0438', u'\U0001f44aTragedy&Hope101\U0001f44a', u'FLIPPER4TRUMP', u'Adam Schiff', u'Donald J. Trump', u'Dr. Dave Janda \U0001f1fa\U0001f1f8', u'zerohedge', u'Andrew Breitbart']","Twitter Web Client"
"Mon Apr 03 05:23:08 +0000 2017","JayPPorter","7944","Not only is #RussianCollusion falling apart (#SusanRice) but #RussianHacking narrative is unraveling too. https://t.co/Q83uvwh1Zl","Washington","['RussianCollusion', 'SusanRice', 'RussianHacking']","[]","Android"
"Mon Apr 03 05:23:28 +0000 2017","avanconia","15736","@worst_potus_evr @ncwolf1313 https://t.co/nja2SKCop2 Here. Willing to read","behind liberal enemy lines","[]","[u'dont screw with me', u'Trump is deranged']","Twitter Web Client"
"Mon Apr 03 05:23:39 +0000 2017","avanconia","15736","@worst_potus_evr @ncwolf1313 https://t.co/nja2SKCop2 If you go through all of this, you will learn.","behind liberal enemy lines","[]","[u'dont screw with me', u'Trump is deranged']","Twitter Web Client"
"Mon Apr 03 05:24:07 +0000 2017","estocker8","487","RT @avanconia: ⚡️UPDATED⚡️
🔥VINDICATION🔥
🚨💥#RussianHacking A LIE! PROOF IS HERE💥🚨
SHARE NOW - RETWEET ALL - BREAK THE COVER UP
🔥👉🔗…","","['RussianHacking']","[u""MAGA.Wreck'nBall1861""]"
"Mon Apr 03 05:25:28 +0000 2017","avanconia","15736","@EFnetPhiloNews @LeahR77 @AppSame @ed_hooley @NowellKern @IndyK46220 @TheTrumpLady @VoteTrumpPics… https://t.co/6cbbv5OjM5","behind liberal enemy lines","[]","[u'Philo News \u2658\u265a', u'Leah \u270c\U0001f335\U0001f1fa\U0001f1f8\U0001f3b8', u'AppSame', u'Ted Hooley', u'Nowell Kern', u'\u0643\u0627\u0641\u0631\u0629 \u2660 K\u2660 \u0f12', u'WINNING IN AMERICA!', u'Vote Trump Pics']","Twitter Web Client"
"Mon Apr 03 05:25:56 +0000 2017","CohenTisha","4801","RT @avanconia: @4TruthAndReason @twitmeagainnow @CohenTisha @RepAdamSchiff @realDonaldTrump @docdhj @zerohedge @Breitbart https://t.co/nja2…","#","[]","[u""MAGA.Wreck'nBall1861"", u'4\u0393ruth.\u039bnd.\u042feaso\u0438', u'\U0001f44aTragedy&Hope101\U0001f44a', u'FLIPPER4TRUMP', u'Adam Schiff', u'Donald J. Trump', u'Dr. Dave Janda \U0001f1fa\U0001f1f8', u'zerohedge', u'Andrew Breitbart']","iPhone"
